Model,R2_Test,RMSE,MAE,Best_Params
Random Forest,0.9015951757752518,11.05560573017212,9.066349770338363,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,0.8953732291535969,11.399761311798303,9.55290103805292,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}"
AdaBoost,0.8794083174167491,12.238636183161827,10.427909124258937,"{'learning_rate': 1.0, 'n_estimators': 200}"
Ridge,0.8198135067351826,14.960133324543976,11.630245284791851,{'alpha': 1.0}
SVM,0.6304395199145293,21.424816386689553,15.186137598340945,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}"
Neural Network,0.17752017422558541,31.96222279188856,25.917701816397305,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
